Anime Name,Condition,Views,Latest Episode
SD Gundam World: Sangoku Soketsuden,Ongoing,"69,934","010
"
Anime Kapibarasan,Completed,"82,114","024
"
Kiratto Pri-chan 3,Completed,"197,082","153
"
The Giant Gods and the Ice Flower Castle,Completed,"118,650","004
"
No Doubt In Us,Ongoing,"72,879","008
"
Kemono Friends 3,Ongoing,"241,262","023
"
Tenchi Muyou! Ryououki 5th Season,Completed,"123,776","006
"
Beyblade Burst Sparking,Completed,"1,081,821","052
"
SD Gundam World Heroes,Completed,"91,428","024
"
Tales of Demons and Gods 4,Ongoing,"334,342","050
"
Youkai Watch Youkai Gakuen N to no Souguu,Ongoing,"114,503","018
"
Tomica Bond Combination: Earth Granner,Ongoing,"252,455","051
"
Obake Zukan,Ongoing,"75,148","022
"
Incredible Zorori,Completed,"96,774","025
"
Spirit Wind Elegance,Completed,"78,666","012
"
Legend of Exorcism,Ongoing,"134,364","009
"
Carp Reborn Season 1,Completed,"197,489","16
"
